ind,Dec 2024,Dec 2023,Change,Programming Language,Ratings,Change
1,1,,,Python,23.84%,+9.98%
2,3,,,C++,10.82%,+0.81%
3,4,,,Java,9.72%,+1.73%
4,2,,,C,9.10%,-2.34%
5,5,,,C#,4.87%,-2.43%
6,6,,,JavaScript,4.61%,+1.72%
7,13,,,Go,2.17%,+1.14%
8,9,,,SQL,1.99%,+0.37%
9,8,,,Visual Basic,1.96%,+0.14%
10,12,,,Fortran,1.79%,+0.72%
11,16,,,Delphi/Object Pascal,1.44%,+0.52%
12,7,,,PHP,1.39%,-0.62%
13,11,,,Scratch,1.33%,+0.26%
14,18,,,Rust,1.29%,+0.48%
15,14,,,MATLAB,1.09%,+0.16%
16,20,,,R,1.05%,+0.33%
17,10,,,Assembly language,1.04%,-0.07%
18,19,,,Ruby,1.03%,+0.26%
19,23,,,COBOL,0.98%,+0.30%
20,17,,,Swift,0.98%,+0.16%
